Function	Depth	Time(s)	Result
Map.updateMin	2	9.69	Complete (Passed 10)
Map.updateMax	2	9.36	Complete (Passed 10)
Map.lookupIndex	7	600.00	TimeOut
Map.updateMinWithKey	2	8.72	Complete (Passed 10)
Map.updateAt	5	76.06	Complete (Passed 1683)
Map.updateMin	3	9.00	Complete (Passed 21)
Map.updateMaxWithKey	2	8.30	Complete (Passed 10)
Map.updateMax	3	9.03	Complete (Passed 21)
Map.updateMinWithKey	3	8.23	Complete (Passed 21)
Map.updateMaxWithKey	3	8.73	Complete (Passed 21)
Map.updateMin	4	10.00	Complete (Passed 56)
Map.updateMax	4	10.50	Complete (Passed 56)
Map.updateMinWithKey	4	10.38	Complete (Passed 56)
Map.updateMaxWithKey	4	10.95	Complete (Passed 56)
Map.alter	7	600.03	TimeOut
Map.updateMin	5	17.31	Complete (Passed 153)
Map.updateMax	5	17.60	Complete (Passed 153)
Map.minViewWithKey	2	4.79	Complete (Passed 10)
Map.updateMinWithKey	5	17.86	Complete (Passed 153)
Map.minViewWithKey	3	5.04	Complete (Passed 21)
Map.updateMaxWithKey	5	16.78	Complete (Passed 153)
Map.minViewWithKey	4	5.67	Complete (Passed 56)
Map.minViewWithKey	5	10.07	Complete (Passed 153)
Map.updateMin	6	44.50	Complete (Passed 379)
Map.updateMax	6	44.66	Complete (Passed 379)
Map.updateMinWithKey	6	44.65	Complete (Passed 379)
Map.findMin	7	119.14	Complete (Passed 985)
Map.findMax	7	119.12	Complete (Passed 985)
Map.minViewWithKey	6	30.34	Complete (Passed 379)
Map.updateMaxWithKey	6	44.27	Complete (Passed 379)
Map.deleteMin	7	129.51	Complete (Passed 985)
Map.deleteMax	7	129.43	Complete (Passed 985)
Map.minViewWithKey	7	131.78	Complete (Passed 985)
Map.elemAt	6	298.52	Complete (Passed 4927)
Map.updateMin	7	195.40	Complete (Passed 985)
Map.updateMax	7	196.29	Complete (Passed 985)
Map.updateMinWithKey	7	195.71	Complete (Passed 985)
Map.updateMaxWithKey	7	196.00	Complete (Passed 985)
Map.deleteAt	6	311.93	Complete (Passed 4927)
Map.updateAt	6	379.47	Complete (Passed 4927)
Map.findMin	8	600.10	TimeOut
Map.findMax	8	600.00	TimeOut
Map.maxViewWithKey	2	4.74	Complete (Passed 10)
Map.minView	2	4.61	Complete (Passed 10)
Map.minView	3	5.16	Complete (Passed 21)
Map.maxViewWithKey	3	5.36	Complete (Passed 21)
Map.deleteMin	8	600.01	TimeOut
Map.maxViewWithKey	4	5.72	Complete (Passed 56)
Map.minView	4	5.97	Complete (Passed 56)
Map.maxView	2	4.46	Complete (Passed 10)
Map.deleteMax	8	600.00	TimeOut
Map.maxView	3	4.71	Complete (Passed 21)
Map.maxViewWithKey	5	10.58	Complete (Passed 153)
Map.minView	5	10.62	Complete (Passed 153)
Map.unions	2	6.50	Complete (Passed 111)
Map.maxView	4	6.10	Complete (Passed 56)
Map.maxView	5	9.91	Complete (Passed 153)
Map.minView	6	30.36	Complete (Passed 379)
Map.maxViewWithKey	6	31.30	Complete (Passed 379)
Map.maxView	6	30.47	Complete (Passed 379)
Map.minViewWithKey	8	600.07	TimeOut
Map.unionsWith	2	6.01	Complete (Passed 111)
Map.elemAt	7	600.01	TimeOut
Map.union	2	5.83	Complete (Passed 100)
Map.union	3	14.02	Complete (Passed 441)
Map.updateMin	8	600.26	TimeOut
Map.minView	7	134.15	Complete (Passed 985)
Map.maxViewWithKey	7	133.82	Complete (Passed 985)
Map.updateMax	8	600.15	TimeOut
Map.updateMinWithKey	8	600.00	TimeOut
Map.unionWith	2	6.02	Complete (Passed 100)
Map.unionWithKey	2	5.70	Complete (Passed 100)
Map.difference	2	5.60	Complete (Passed 100)
Map.updateMaxWithKey	8	600.00	TimeOut
Map.maxView	7	132.72	Complete (Passed 985)
Map.differenceWith	2	5.09	Complete (Passed 100)
Map.unionWith	3	14.18	Complete (Passed 441)
Map.difference	3	12.55	Complete (Passed 441)
Map.unionWithKey	3	14.93	Complete (Passed 441)
Map.deleteAt	7	600.02	TimeOut
Map.differenceWith	3	15.82	Complete (Passed 441)
Map.differenceWithKey	2	5.69	Complete (Passed 100)
Map.differenceWithKey	3	15.05	Complete (Passed 441)
Map.updateAt	7	600.06	TimeOut
Map.intersection	2	5.34	Complete (Passed 100)
Map.intersection	3	11.79	Complete (Passed 441)
Map.union	4	152.25	Complete (Passed 3136)
Map.difference	4	127.23	Complete (Passed 3136)
Map.unionWith	4	143.03	Complete (Passed 3136)
Map.unionWithKey	4	142.17	Complete (Passed 3136)
Map.differenceWith	4	176.69	Complete (Passed 3136)
Map.intersection	4	127.95	Complete (Passed 3136)
Map.differenceWithKey	4	220.62	Complete (Passed 3136)
Map.unions	3	554.58	Complete (Passed 9724)
Map.unionsWith	3	557.46	Complete (Passed 9724)
Map.minView	8	600.09	TimeOut
Map.maxViewWithKey	8	600.00	TimeOut
Map.intersectionWith	2	5.53	Complete (Passed 100)
Map.intersectionWithKey	2	5.35	Complete (Passed 100)
Map.maxView	8	600.00	TimeOut
Map.intersectionWithKey	3	12.14	Complete (Passed 441)
Map.intersectionWith	3	12.69	Complete (Passed 441)
Map.mergeWithKey	2	17.07	Complete (Passed 100)
Map.difference	5	600.02	TimeOut
Map.intersectionWith	4	133.46	Complete (Passed 3136)
Map.intersectionWithKey	4	133.78	Complete (Passed 3136)
Map.isSubmapOf	2	9.67	Complete (Passed 100)
Map.unionWith	5	600.00	TimeOut
Map.unionWithKey	5	600.00	TimeOut
Map.isSubmapOf	3	16.19	Complete (Passed 441)
Map.isProperSubmapOf	2	9.08	Complete (Passed 100)
Map.mergeWithKey	3	151.82	Complete (Passed 441)
Map.isProperSubmapOf	3	15.58	Complete (Passed 441)
Map.differenceWith	5	600.07	TimeOut
Map.intersection	5	600.05	TimeOut
Map.differenceWithKey	5	600.02	TimeOut
Map.isProperSubmapOfBy	2	62.65	Complete (Passed 100)
Map.isSubmapOf	4	122.44	Complete (Passed 3136)
Map.filter	2	46.48	Complete (Passed 10)
Map.isProperSubmapOf	4	118.83	Complete (Passed 3136)
Map.filterWithKey	2	68.57	Complete (Passed 10)
Map.isSubmapOfBy	2	176.87	Complete (Passed 100)
